Symbol,Date,Expiry,Spot,Strike,call_delta,call_gamma,call_theta,call_vega,call_open_interest,call_volume,Call_IV,Call_Vanna,puts_delta,put_gamma,put_theta,put_vega,puts_open_interest,put_volume,Put_IV,Put_Vanna
$SPX,2026-02-08,2026-02-09,,6835.0,0.0,0.0,0.0,0.0,47.0,170.0,0.0,,-0.114,0.002,-3.91,0.989,203.0,2190.0,0.161,
$SPX,2026-02-08,2026-02-09,,6840.0,0.0,0.0,0.0,0.0,110.0,323.0,0.0,,-0.125,0.002,-4.171,1.059,205.0,2365.0,0.161,
$SPX,2026-02-08,2026-02-09,,6845.0,0.0,0.0,0.0,0.0,160.0,235.0,0.0,,-0.133,0.003,-4.231,1.101,633.0,1822.0,0.157,
$SPX,2026-02-08,2026-02-09,,6850.0,0.0,0.0,0.0,0.0,1871.0,2222.0,0.0,,-0.145,0.003,-4.469,1.171,1940.0,7821.0,0.156,
$SPX,2026-02-08,2026-02-09,,6855.0,0.942,0.002,-2.094,0.592,147.0,338.0,0.098,,-0.158,0.003,-4.68,1.238,251.0,1812.0,0.154,
$SPX,2026-02-08,2026-02-09,,6860.0,0.915,0.003,-2.741,0.801,330.0,812.0,0.106,,-0.171,0.003,-4.862,1.304,387.0,4533.0,0.152,
$SPX,2026-02-08,2026-02-09,,6865.0,0.959,0.002,-1.538,0.455,120.0,530.0,0.078,,-0.184,0.004,-5.018,1.367,1014.0,2487.0,0.15,
$SPX,2026-02-08,2026-02-09,,6870.0,0.937,0.003,-1.946,0.638,170.0,967.0,0.082,,-0.2,0.004,-5.232,1.438,355.0,4724.0,0.149,
$SPX,2026-02-08,2026-02-09,,6875.0,0.923,0.004,-2.12,0.738,2388.0,3981.0,0.081,,-0.216,0.004,-5.389,1.504,2427.0,4859.0,0.147,
$SPX,2026-02-08,2026-02-09,,6880.0,0.883,0.004,-2.836,1.008,172.0,1717.0,0.088,,-0.234,0.004,-5.551,1.571,402.0,4302.0,0.145,
$SPX,2026-02-08,2026-02-09,,6885.0,0.841,0.005,-3.546,1.243,124.0,1127.0,0.096,,-0.254,0.004,-5.764,1.643,166.0,2225.0,0.144,
$SPX,2026-02-08,2026-02-09,,6890.0,0.811,0.005,-3.932,1.388,993.0,1492.0,0.097,,-0.274,0.005,-5.913,1.708,1075.0,3145.0,0.142,
$SPX,2026-02-08,2026-02-09,,6895.0,0.787,0.006,-4.095,1.491,146.0,1676.0,0.095,,-0.295,0.005,-6.061,1.771,255.0,2092.0,0.141,
$SPX,2026-02-08,2026-02-09,,6900.0,0.754,0.006,-4.42,1.618,1003.0,6674.0,0.096,,-0.318,0.005,-6.181,1.829,2092.0,5688.0,0.139,
$SPX,2026-02-08,2026-02-09,,6905.0,0.72,0.007,-4.665,1.727,221.0,1826.0,0.097,,-0.342,0.005,-6.303,1.884,228.0,2006.0,0.138,
$SPX,2026-02-08,2026-02-09,,6910.0,0.688,0.007,-4.791,1.816,219.0,2845.0,0.095,,-0.367,0.005,-6.394,1.932,1230.0,3148.0,0.137,
$SPX,2026-02-08,2026-02-09,,6915.0,0.649,0.008,-5.035,1.903,281.0,2702.0,0.096,,-0.392,0.006,-6.38,1.972,419.0,3407.0,0.134,
$SPX,2026-02-08,2026-02-09,,6920.0,0.612,0.008,-5.082,1.966,452.0,5584.0,0.095,,-0.42,0.006,-6.42,2.005,406.0,3366.0,0.133,
$SPX,2026-02-08,2026-02-09,,6925.0,0.573,0.008,-5.141,2.013,289.0,5078.0,0.094,,-0.448,0.006,-6.411,2.03,861.0,2708.0,0.132,
$SPX,2026-02-08,2026-02-09,,6930.0,0.532,0.008,-5.19,2.041,360.0,4985.0,0.095,,-0.478,0.006,-6.382,2.043,235.0,1884.0,0.131,
$SPX,2026-02-08,2026-02-09,,6935.0,0.49,0.008,-5.136,2.046,174.0,4002.0,0.094,,-0.508,0.006,-6.354,2.046,1024.0,1560.0,0.13,
$SPX,2026-02-08,2026-02-09,,6940.0,0.448,0.008,-5.002,2.03,405.0,4683.0,0.092,,-0.538,0.006,-6.214,2.036,406.0,1698.0,0.128,
$SPX,2026-02-08,2026-02-09,,6945.0,0.406,0.008,-4.824,1.99,195.0,2861.0,0.091,,-0.568,0.006,-6.149,2.015,306.0,2077.0,0.129,
$SPX,2026-02-08,2026-02-09,,6950.0,0.364,0.008,-4.59,1.926,1462.0,7367.0,0.09,,-0.599,0.006,-5.995,1.982,997.0,1068.0,0.128,
$SPX,2026-02-08,2026-02-09,,6955.0,0.321,0.008,-4.302,1.838,200.0,3950.0,0.089,,-0.62,0.006,-6.292,1.952,180.0,3464.0,0.136,
$SPX,2026-02-08,2026-02-09,,6960.0,0.28,0.008,-3.965,1.727,600.0,5484.0,0.087,,-0.657,0.006,-5.655,1.885,337.0,297.0,0.128,
